Room_name,Width,Height,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_next
Administration,[1.35],[1.8],"[0.465, 2.265]","[0.55, 2.675]",[0.0]
Corridor,[0.915],[1.83],"[0.2, 6.612]","[0.305, 2.545]",[1.486]
Kitchen,[1.2],[1.83],"[0.193, 5.821]","[0.305, 3.27]",[0.2]
Meeting room,[1.35],[1.8],"[0.415, 2.215]","[0.55, 2.675]",[0.0]
Office,[0.915],[1.83],"[0.6, 2.63]","[0.305, 2.545]",[0.2]
Service room,[1.35],[1.8],"[0.481, 2.281]","[0.6, 2.25]",[0.0]
Vest.,[0.915],[1.83],"[0.193, 2.608]","[0.305, 2.545]",[1.687]
