Family,,Width,Height,Distance_to_parall_mi,Distance_to_parall_mean,Distance_to_parall_ma,Angles_to_walls_mi,Angles_to_walls_mean,Angles_to_walls_ma
Basic Wall,mean,0.1278823529411765,3.1971764705882353,3.9840235294117647,4.131843137254902,4.276305882352941,1.2705882352941176,70.37983193277311,90.0
Basic Wall,min,0.1,3.099999999999999,0.0,0.0,0.0,0.0,50.0,90.0
Basic Wall,max,0.25,3.2000000000000006,30.46,30.46,30.46,90.0,90.0,90.0
