,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Type,Normal_to_center_room
0,177056,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b3a0,212675,e4148a5a-ef43-42c7-8c1f-cbfa1d6199fc-00033ec3,Concrete- 100mm,"(0.000000000, 0.000000000, -1.000000000)"
1,177056,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b3a0,144837,9ddc7feb-6f54-4b53-9ca4-7923d929ea52-000235c5,Exterior - Insulation on Masonry,"(0.000000000, -1.000000000, 0.000000000)"
2,177056,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b3a0,196713,cf8cfcc0-c742-4a2a-b6ca-a26573419e10-00030069,Exterior Curtain Wall,"(1.000000000, 0.000000000, 0.000000000)"
3,177056,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b3a0,169770,f1268bbe-9264-4ea5-b30b-6919ab197ea7-0002972a,Exterior - Insulation on Masonry,"(0.000000000, 1.000000000, 0.000000000)"
4,177056,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b3a0,141021,faac21ea-ccd4-4796-a103-1376529a55d6-000226dd,300mm,"(0.949638049, 0.313348968, 0.000000000)"
5,177056,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b3a0,141020,faac21ea-ccd4-4796-a103-1376529a55d6-000226dc,300mm,"(0.949638049, 0.313348968, 0.000000000)"
6,177056,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b3a0,141019,faac21ea-ccd4-4796-a103-1376529a55d6-000226db,300mm,"(0.949638049, 0.313348968, 0.000000000)"
7,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,212675,e4148a5a-ef43-42c7-8c1f-cbfa1d6199fc-00033ec3,Concrete- 100mm,"(0.000000000, 0.000000000, -1.000000000)"
8,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,144051,9ddc7feb-6f54-4b53-9ca4-7923d929ea52-000232b3,Interior - 138mm Partition (1-hr),"(0.000000000, -1.000000000, 0.000000000)"
9,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,157641,9e597f98-694d-4ada-b8ef-0e7459e0b930-000267c9,Interior - 138mm Partition (1-hr),"(0.000000000, -1.000000000, 0.000000000)"
10,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,155851,9e597f98-694d-4ada-b8ef-0e7459e0b930-000260cb,Generic - 225mm Concrete,"(0.000000000, 1.000000000, 0.000000000)"
11,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,155993,9e597f98-694d-4ada-b8ef-0e7459e0b930-00026159,Generic - 225mm Concrete,"(0.000000000, 1.000000000, 0.000000000)"
12,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,156072,9e597f98-694d-4ada-b8ef-0e7459e0b930-000261a8,Generic - 225mm Concrete,"(0.000000000, 1.000000000, 0.000000000)"
13,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,156175,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002620f,Generic - 225mm Concrete,"(0.000000000, 1.000000000, 0.000000000)"
14,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,148960,9e597f98-694d-4ada-b8ef-0e7459e0b930-000245e0,Storefront,"(0.000000000, 1.000000000, 0.000000000)"
15,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,162381,9e597f98-694d-4ada-b8ef-0e7459e0b930-00027a4d,Interior - 138mm Partition (1-hr),"(-1.000000000, 0.000000000, 0.000000000)"
16,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,144837,9ddc7feb-6f54-4b53-9ca4-7923d929ea52-000235c5,Exterior - Insulation on Masonry,"(0.000000000, 1.000000000, 0.000000000)"
17,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,187479,5bbf8047-337a-468f-98e7-d037aa536b9a-0002dc57,Interior - 138mm Partition (1-hr),"(-1.000000000, 0.000000000, 0.000000000)"
18,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,149589,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024855,Interior - 138mm Partition (1-hr),"(0.000000000, 1.000000000, 0.000000000)"
19,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,149551,9e597f98-694d-4ada-b8ef-0e7459e0b930-0002482f,Interior - 138mm Partition (1-hr),"(-1.000000000, 0.000000000, 0.000000000)"
20,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,149189,9e597f98-694d-4ada-b8ef-0e7459e0b930-000246c5,Interior - 138mm Partition (1-hr),"(0.000000000, -1.000000000, 0.000000000)"
21,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,159176,9e597f98-694d-4ada-b8ef-0e7459e0b930-00026dc8,Interior - 138mm Partition (1-hr),"(0.000000000, -1.000000000, 0.000000000)"
22,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,150342,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024b46,Interior - 138mm Partition (1-hr),"(-1.000000000, 0.000000000, 0.000000000)"
23,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,150861,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024d4d,Generic - 200mm,"(-1.000000000, 0.000000000, 0.000000000)"
24,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,151331,9e597f98-694d-4ada-b8ef-0e7459e0b930-00024f23,Generic - 200mm,"(1.000000000, 0.000000000, 0.000000000)"
25,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140981,faac21ea-ccd4-4796-a103-1376529a55d6-000226b5,300mm,"(0.785043540, -0.619440587, 0.000000000)"
26,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140978,faac21ea-ccd4-4796-a103-1376529a55d6-000226b2,300mm,"(0.785043540, -0.619440587, 0.000000000)"
27,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140977,faac21ea-ccd4-4796-a103-1376529a55d6-000226b1,300mm,"(0.785043540, -0.619440587, 0.000000000)"
28,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140976,faac21ea-ccd4-4796-a103-1376529a55d6-000226b0,300mm,"(0.785043540, -0.619440587, 0.000000000)"
29,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140975,faac21ea-ccd4-4796-a103-1376529a55d6-000226af,300mm,"(0.785043540, -0.619440587, 0.000000000)"
30,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140974,faac21ea-ccd4-4796-a103-1376529a55d6-000226ae,300mm,"(0.785043540, -0.619440587, 0.000000000)"
31,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140973,faac21ea-ccd4-4796-a103-1376529a55d6-000226ad,300mm,"(0.785043540, -0.619440587, 0.000000000)"
32,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140967,faac21ea-ccd4-4796-a103-1376529a55d6-000226a7,300mm,"(0.785043540, -0.619440587, 0.000000000)"
33,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140966,faac21ea-ccd4-4796-a103-1376529a55d6-000226a6,300mm,"(0.785043540, -0.619440587, 0.000000000)"
34,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140965,faac21ea-ccd4-4796-a103-1376529a55d6-000226a5,300mm,"(0.785043540, -0.619440587, 0.000000000)"
35,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140964,faac21ea-ccd4-4796-a103-1376529a55d6-000226a4,300mm,"(0.785043540, -0.619440587, 0.000000000)"
36,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140963,faac21ea-ccd4-4796-a103-1376529a55d6-000226a3,300mm,"(0.785043540, -0.619440587, 0.000000000)"
37,177304,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b498,140962,faac21ea-ccd4-4796-a103-1376529a55d6-000226a2,300mm,"(0.785043540, -0.619440587, 0.000000000)"
38,177305,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b499,212675,e4148a5a-ef43-42c7-8c1f-cbfa1d6199fc-00033ec3,Concrete- 100mm,"(0.000000000, 0.000000000, -1.000000000)"
39,177305,50383581-0df4-4a83-bafb-ea6cc3265f8b-0002b499,139857,6949fe39-3e9a-4d4d-b7fe-71339c615138-00022251,Exterior - Insulation on Masonry,"(0.000000000, 1.000000000, 0.000000000)"
