Room_name,Width,Height,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_next
M_Door-Exterior-Double-Two_Lite,[0.762],[2.032],"[0.119, 2.46]","[0.818, 2.85]",[0.0]
M_Door-Passage-Single-Flush,[0.762],[2.032],"[0.119, 2.46]","[0.818, 2.85]",[0.0]
M_Door-Passage-Single-Two_Lite,[0.762],[2.032],"[0.119, 2.46]","[0.818, 2.85]",[0.0]
M_Door-Passage-Uneven-Flush,[0.762],[2.032],"[0.119, 2.46]","[0.818, 2.85]",[0.0]
M_Single-Flush,[0.762],[2.032],"[0.119, 2.46]","[0.818, 2.85]",[0.0]
