Room_name,Width,Height,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_next
M_Fixed,[0.915],[1.83],"[0.6, 2.63]","[0.305, 3.27]",[0.2]
M_Window-Casement-Triple-Side-Transom,[1.35],[1.8],"[0.465, 2.265]","[0.6, 2.25]",[0.0]
