,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Nearest_elementIds,Nearest_elementIds_count,Distance_to_nearest,Distance_to_nearest_mi,Distance_to_nearest_mean,Distance_to_nearest_ma
20,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,988603,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f15bb,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[5.54, 2.87, 6.246, 3.206, 6.512, 3.219, 6.286, 5.61, 1.772]",1.772,4.585,6.512
21,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,988640,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f15e0,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[4.87, 2.87, 6.916, 3.206, 5.943, 3.219, 5.621, 4.946, 2.438]",2.438,4.448,6.916
22,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,989344,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f18a0,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.398, 3.989, 2.388, 2.088, 9.718, 2.1, 10.098, 9.423, 2.285]",2.088,5.721,10.098
23,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,989521,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1951,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.398, 2.189, 2.387, 3.888, 10.275, 3.9, 10.2, 9.525, 2.285]",2.189,6.005,10.275
24,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990317,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1c6d,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[10.158, 1.829, 1.628, 4.248, 11.116, 4.26, 11.005, 10.334, 3.125]",1.628,6.411,11.116
25,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990596,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1d84,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[10.158, 2.649, 1.628, 3.428, 10.821, 3.44, 10.902, 10.223, 2.894]",1.628,6.238,10.902
26,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990620,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1d9c,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[8.638, 1.829, 3.147, 4.248, 9.734, 4.26, 9.509, 8.84, 1.839]",1.829,5.783,9.734
27,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990621,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1d9d,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[8.638, 2.649, 3.147, 3.428, 9.397, 3.44, 9.389, 8.712, 1.41]",1.41,5.579,9.397
28,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990645,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1db5,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[10.158, 4.349, 1.628, 1.728, 10.389, 1.74, 10.858, 10.202, 3.125]",1.628,6.02,10.858
29,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990646,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1db6,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[10.158, 3.529, 1.628, 2.548, 10.566, 2.56, 10.858, 10.177, 2.894]",1.628,6.102,10.858
30,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990647,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1db7,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[8.638, 4.349, 3.147, 1.728, 8.898, 1.74, 9.338, 8.686, 1.839]",1.728,5.374,9.338
31,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990648,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1db8,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[8.638, 3.529, 3.147, 2.548, 9.103, 2.56, 9.339, 8.657, 1.41]",1.41,5.437,9.339
32,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,993980,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f2abc,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[5.64, 3.31, 6.146, 2.766, 6.391, 2.779, 6.348, 5.667, 1.673]",1.673,4.524,6.391
33,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,994782,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f2dde,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.688, 4.343, 2.098, 1.733, 9.928, 1.745, 10.388, 9.732, 2.699]",1.733,5.817,10.388
34,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,996881,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f3611,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.538, 4.23, 2.248, 1.846, 9.803, 1.859, 10.238, 9.575, 2.514]",1.846,5.761,10.238
35,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997032,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36a8,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.688, 3.523, 2.098, 2.553, 10.113, 2.565, 10.389, 9.707, 2.429]",2.098,5.896,10.389
36,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997033,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36a9,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.538, 3.41, 2.248, 2.666, 10.0, 2.679, 10.24, 9.559, 2.263]",2.248,5.845,10.24
37,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997050,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36ba,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.688, 2.643, 2.098, 3.433, 10.38, 3.445, 10.434, 9.756, 2.431]",2.098,6.034,10.434
38,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997051,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36bb,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.538, 2.53, 2.248, 3.546, 10.279, 3.559, 10.297, 9.619, 2.309]",2.248,5.992,10.297
39,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997068,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36cc,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.688, 1.823, 2.098, 4.253, 10.687, 4.265, 10.543, 9.872, 2.704]",1.823,6.215,10.687
40,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997069,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36cd,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.538, 1.71, 2.248, 4.366, 10.597, 4.379, 10.415, 9.746, 2.63]",1.71,6.181,10.597
41,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997114,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fa,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.108, 4.343, 2.677, 1.733, 9.359, 1.745, 9.808, 9.154, 2.202]",1.733,5.57,9.808
42,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997115,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fb,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.238, 4.489, 2.548, 1.588, 9.459, 1.6, 9.938, 9.296, 2.392]",1.588,5.616,9.938
43,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997116,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fc,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.108, 3.523, 2.677, 2.553, 9.555, 2.565, 9.809, 9.127, 1.861]",1.861,5.642,9.809
44,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997117,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fd,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.258, 3.629, 2.528, 2.448, 9.671, 2.46, 9.958, 9.276, 2.033]",2.033,5.696,9.958
45,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,997118,17d64ad0-d78d-4987-a236-e3b1011abdd3-000f36fe,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]",9,"[9.108, 2.643, 2.677, 3.433, 9.836, 3.445, 9.857, 9.179, 1.864]",1.864,5.782,9.857
