,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Door_width,Door_height,Nearest_elementIds,ElementId_hor,ElementId_vert,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_edges_mi,Distance_to_edges_mean,Distance_to_edges_ma,ElementId_next_door,Distance_to_next_door_min
20,3431445,9cf76385-c087-44ac-94ef-586873199046-00345c15,3569525,100b3004-ff7b-4c59-99d2-876b4845f0e9-00367775,1.51,2.1,"[3151224, 3577895, 3575868]","[3151224, 3577895, 3575868]",[],"[0.56, 1.72, 1.72]",[],0.56,1.33,1.72,,0.0
21,3431446,9cf76385-c087-44ac-94ef-586873199046-00345c16,3151226,6019daee-c7da-42d3-8cc4-00f4173566ea-0030157a,0.7,2.1,"[3145976, 3151193, 3151227, 3375288]","[3151227, 3375288]","[3145976, 3151193]","[1.18, 1.08]","[1.113, 2.125]",1.08,1.37,2.125,,0.0
22,3431447,9cf76385-c087-44ac-94ef-586873199046-00345c17,3151231,6019daee-c7da-42d3-8cc4-00f4173566ea-0030157f,0.7,2.1,"[3145976, 3151193, 3381406, 3151398]","[3381406, 3151398]","[3145976, 3151193]","[1.0, 1.11]","[1.113, 2.125]",1.0,1.34,2.125,,0.0
23,3431448,9cf76385-c087-44ac-94ef-586873199046-00345c18,3151210,6019daee-c7da-42d3-8cc4-00f4173566ea-0030156a,0.7,2.1,"[3145976, 3151193, 3381406, 3151398]","[3381406, 3151398]","[3145976, 3151193]","[1.0, 1.11]","[1.113, 2.125]",1.0,1.34,2.125,,0.0
24,3431450,9cf76385-c087-44ac-94ef-586873199046-00345c1a,3151377,6019daee-c7da-42d3-8cc4-00f4173566ea-00301611,0.8,2.1,"[3145976, 3151193, 3151378, 3381406]","[3151378, 3381406]","[3145976, 3151193]","[1.43, 4.7]","[1.113, 2.125]",1.113,2.34,4.7,,0.0
25,3431451,9cf76385-c087-44ac-94ef-586873199046-00345c1b,3151256,6019daee-c7da-42d3-8cc4-00f4173566ea-00301598,0.7,2.1,"[3145976, 3151193, 3151263, 3151375]","[3151263, 3151375]","[3145976, 3151193]","[1.66, 2.59]","[1.113, 2.125]",1.113,1.87,2.59,,0.0
26,3431452,9cf76385-c087-44ac-94ef-586873199046-00345c1c,3151255,6019daee-c7da-42d3-8cc4-00f4173566ea-00301597,0.7,2.1,"[3145976, 3151193, 3151261, 3151263]","[3151261, 3151263]","[3145976, 3151193]","[1.66, 2.29]","[1.113, 2.125]",1.113,1.8,2.29,,0.0
27,3431453,9cf76385-c087-44ac-94ef-586873199046-00345c1d,3151254,6019daee-c7da-42d3-8cc4-00f4173566ea-00301596,0.7,2.1,"[3145976, 3151193, 3151259, 3151261]","[3151259, 3151261]","[3145976, 3151193]","[1.66, 2.29]","[1.113, 2.125]",1.113,1.8,2.29,,0.0
28,3431454,9cf76385-c087-44ac-94ef-586873199046-00345c1e,3151253,6019daee-c7da-42d3-8cc4-00f4173566ea-00301595,0.7,2.1,"[3145976, 3151193, 3151257, 3151259]","[3151257, 3151259]","[3145976, 3151193]","[1.66, 2.29]","[1.113, 2.125]",1.113,1.8,2.29,,0.0
29,3431455,9cf76385-c087-44ac-94ef-586873199046-00345c1f,3151252,6019daee-c7da-42d3-8cc4-00f4173566ea-00301594,0.7,2.1,"[3145976, 3151193, 3151249, 3151257]","[3151249, 3151257]","[3145976, 3151193]","[1.66, 2.29]","[1.113, 2.125]",1.113,1.8,2.29,,0.0
30,3431456,9cf76385-c087-44ac-94ef-586873199046-00345c20,3151251,6019daee-c7da-42d3-8cc4-00f4173566ea-00301593,0.7,2.1,"[3145976, 3151193, 3547312, 3151249]","[3547312, 3151249]","[3145976, 3151193]","[2.09, 2.06]","[1.113, 2.125]",1.113,1.85,2.125,,0.0
31,3431458,9cf76385-c087-44ac-94ef-586873199046-00345c22,3429616,bdfe10a9-cc3a-4d49-9ab7-dfdbee303133-003454f0,0.7,2.1,"[3145976, 3151193, 3151200, 3375288]","[3151200, 3375288]","[3145976, 3151193]","[1.65, 0.93]","[1.159, 2.079]",0.93,1.45,2.079,,0.0
32,3431459,9cf76385-c087-44ac-94ef-586873199046-00345c23,3394808,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033ccf8,0.7,2.1,"[3145976, 3151193, 3577895, 3151402]","[3577895, 3151402]","[3145976, 3151193]","[3.52, 2.08]","[1.113, 2.125]",1.113,2.21,3.52,3394901,2.0
33,3431459,9cf76385-c087-44ac-94ef-586873199046-00345c23,3394901,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033cd55,0.7,2.1,"[3145976, 3151193, 3577895, 3151402]","[3577895, 3151402]","[3145976, 3151193]","[0.82, 4.78]","[1.113, 2.125]",0.82,2.21,4.78,3394808,2.0
34,3431461,9cf76385-c087-44ac-94ef-586873199046-00345c25,3151384,6019daee-c7da-42d3-8cc4-00f4173566ea-00301618,0.7,2.1,"[3145976, 3151193, 3388699, 3151378]","[3388699, 3151378]","[3145976, 3151193]","[2.96, 1.44]","[1.113, 2.125]",1.113,1.91,2.96,,0.0
35,3431462,9cf76385-c087-44ac-94ef-586873199046-00345c26,3151385,6019daee-c7da-42d3-8cc4-00f4173566ea-00301619,0.7,2.1,"[3145976, 3151193, 3151389, 3388699]","[3151389, 3388699]","[3145976, 3151193]","[1.66, 0.92]","[1.113, 2.125]",0.92,1.45,2.125,,0.0
36,3431463,9cf76385-c087-44ac-94ef-586873199046-00345c27,3426715,4c2a1eb9-45b5-44c1-943e-caf842318fd8-0034499b,0.7,2.1,"[3145976, 3151193, 3151270, 3213826]","[3151270, 3213826]","[3145976, 3151193]","[8.59, 2.36]","[1.113, 2.125]",1.113,3.55,8.59,,0.0
37,3431467,9cf76385-c087-44ac-94ef-586873199046-00345c2b,3145994,3db84829-6386-4fa8-8eda-0e5dc9a25e67-0030010a,0.7,2.1,"[2342938, 3145976, 3146181, 3145995]","[3146181, 3145995]","[2342938, 3145976]","[0.33, 1.7]","[1.113, 2.125]",0.33,1.32,2.125,,0.0
38,3431468,9cf76385-c087-44ac-94ef-586873199046-00345c2c,3146015,3db84829-6386-4fa8-8eda-0e5dc9a25e67-0030011f,0.7,2.1,"[2342938, 3145976, 3145995, 3146181]","[3145995, 3146181]","[2342938, 3145976]","[1.7, 0.33]","[1.113, 2.125]",0.33,1.32,2.125,,0.0
39,3431471,9cf76385-c087-44ac-94ef-586873199046-00345c2f,3146009,3db84829-6386-4fa8-8eda-0e5dc9a25e67-00300119,0.7,2.1,"[2342938, 3145976, 3146010, 3195841]","[3146010, 3195841]","[2342938, 3145976]","[1.18, 1.08]","[1.113, 2.125]",1.08,1.37,2.125,,0.0
40,3431473,9cf76385-c087-44ac-94ef-586873199046-00345c31,3146000,3db84829-6386-4fa8-8eda-0e5dc9a25e67-00300110,0.8,2.1,"[2342938, 3145976, 3145995, 3305448]","[3145995, 3305448]","[2342938, 3145976]","[0.39, 1.2]","[1.113, 2.125]",0.39,1.21,2.125,,0.0
41,3431473,9cf76385-c087-44ac-94ef-586873199046-00345c31,3308853,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327d35,0.8,2.1,"[2342938, 3145976, 3145991, 3146165]","[3145991, 3146165]","[2342938, 3145976]","[29.14, 1.33]","[1.113, 2.125]",1.113,8.43,29.14,3427031,13.333
42,3431473,9cf76385-c087-44ac-94ef-586873199046-00345c31,3427031,4c2a1eb9-45b5-44c1-943e-caf842318fd8-00344ad7,0.7,2.1,"[2342938, 3145976, 3145991, 3146165]","[3145991, 3146165]","[2342938, 3145976]","[15.92, 14.54]","[1.159, 2.079]",1.159,8.42,15.92,3308853,13.333
43,3431473,9cf76385-c087-44ac-94ef-586873199046-00345c31,3560908,88cd8c80-9995-4651-9869-f5c82e340e91-003655cc,0.7,2.1,"[2342938, 3145976, 3145991, 3146165]","[3145991, 3146165]","[2342938, 3145976]","[1.34, 29.12]","[1.159, 2.079]",1.159,8.42,29.12,3427031,14.589
44,3431475,9cf76385-c087-44ac-94ef-586873199046-00345c33,3145985,3db84829-6386-4fa8-8eda-0e5dc9a25e67-00300101,0.7,2.1,"[2342938, 3145976, 3381760]",[3381760],"[2342938, 3145976]",[3.34],"[1.159, 2.079]",1.159,2.19,3.34,,0.0
45,3431477,9cf76385-c087-44ac-94ef-586873199046-00345c35,3305461,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ff5,0.9760000000000001,2.076,"[2342938, 3145976, 3145957, 3145961]","[3145957, 3145961]","[2342938, 3145976]","[1.68, 0.78]","[1.113, 2.125]",0.78,1.42,2.125,,0.0
46,3431482,9cf76385-c087-44ac-94ef-586873199046-00345c3a,3308698,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327c9a,0.9760000000000001,2.076,"[2342938, 3145976, 3145953, 3146147]","[3145953, 3146147]","[2342938, 3145976]","[1.68, 0.69]","[1.113, 2.125]",0.69,1.4,2.125,,0.0
47,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,3305461,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ff5,0.9760000000000001,2.076,"[2342938, 3145976]",[],"[2342938, 3145976]",[],"[1.113, 2.125]",1.113,1.62,2.125,3308698,22.933
48,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,3305464,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ff8,0.7,2.1,"[2342938, 3145976]",[],"[2342938, 3145976]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305468,5.577
49,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,3305465,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ff9,0.7,2.1,"[2342938, 3145976]",[],"[2342938, 3145976]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305468,2.753
50,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,3305466,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ffa,0.7,2.1,"[2342938, 3145976]",[],"[2342938, 3145976]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305464,5.966
51,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,3305467,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ffb,0.7,2.1,"[2342938, 3145976]",[],"[2342938, 3145976]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305466,7.654
52,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,3305468,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ffc,0.7,2.1,"[2342938, 3145976]",[],"[2342938, 3145976]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305465,2.753
53,3431487,9cf76385-c087-44ac-94ef-586873199046-00345c3f,3308698,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327c9a,0.9760000000000001,2.076,"[2342938, 3145976]",[],"[2342938, 3145976]",[],"[1.113, 2.125]",1.113,1.62,2.125,3305461,22.933
