,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Door_width,Door_height,Nearest_elementIds,ElementId_hor,ElementId_vert,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_edges_mi,Distance_to_edges_mean,Distance_to_edges_ma,ElementId_next_door,Distance_to_next_door_min
76,3431519,9cf76385-c087-44ac-94ef-586873199046-00345c5f,3179308,be10110b-b6f2-4065-9867-8ca099f36b0e-0030832c,0.7,2.1,"[2442208, 2342938, 3194971]",[3194971],"[2442208, 2342938]",[3.52],"[1.159, 2.079]",1.159,2.25,3.52,,0.0
77,3431521,9cf76385-c087-44ac-94ef-586873199046-00345c61,3179331,be10110b-b6f2-4065-9867-8ca099f36b0e-00308343,0.7,2.1,"[2442208, 2342938, 3179332, 3195859]","[3179332, 3195859]","[2442208, 2342938]","[1.18, 1.08]","[1.113, 2.125]",1.08,1.37,2.125,,0.0
78,3431524,9cf76385-c087-44ac-94ef-586873199046-00345c64,3179322,be10110b-b6f2-4065-9867-8ca099f36b0e-0030833a,0.8,2.1,"[2442208, 2342938, 3179317, 3301457]","[3179317, 3301457]","[2442208, 2342938]","[0.4, 1.2]","[1.113, 2.125]",0.4,1.21,2.125,,0.0
79,3431524,9cf76385-c087-44ac-94ef-586873199046-00345c64,3301461,8bd0113c-9108-46c6-94f9-4687468b6717-00326055,0.7,2.1,"[2442208, 2342938, 3179313, 3179474]","[3179313, 3179474]","[2442208, 2342938]","[15.91, 14.55]","[1.159, 2.079]",1.159,8.42,15.91,3301462,7.963
80,3431524,9cf76385-c087-44ac-94ef-586873199046-00345c64,3301462,8bd0113c-9108-46c6-94f9-4687468b6717-00326056,0.7,2.1,"[2442208, 2342938, 3179313, 3179474]","[3179313, 3179474]","[2442208, 2342938]","[23.84, 6.62]","[1.159, 2.079]",1.159,8.42,23.84,3308261,5.463
81,3431524,9cf76385-c087-44ac-94ef-586873199046-00345c64,3308261,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00327ae5,0.8,2.1,"[2442208, 2342938, 3179313, 3179474]","[3179313, 3179474]","[2442208, 2342938]","[29.16, 1.3]","[1.113, 2.125]",1.113,8.42,29.16,3301462,5.463
82,3431524,9cf76385-c087-44ac-94ef-586873199046-00345c64,3560916,88cd8c80-9995-4651-9869-f5c82e340e91-003655d4,0.7,2.1,"[2442208, 2342938, 3179313, 3179474]","[3179313, 3179474]","[2442208, 2342938]","[1.34, 29.12]","[1.159, 2.079]",1.159,8.42,29.12,3301461,14.582
83,3431528,9cf76385-c087-44ac-94ef-586873199046-00345c68,3303508,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326854,0.9760000000000001,2.076,"[2442208, 2342938, 3179280, 3179284]","[3179280, 3179284]","[2442208, 2342938]","[1.68, 0.78]","[1.113, 2.125]",0.78,1.42,2.125,,0.0
84,3431532,9cf76385-c087-44ac-94ef-586873199046-00345c6c,3302241,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326361,0.7,2.1,"[2442208, 2342938, 3179362, 3213540]","[3179362, 3213540]","[2442208, 2342938]","[0.65, 10.29]","[1.113, 2.125]",0.65,3.54,10.29,3302242,7.963
85,3431532,9cf76385-c087-44ac-94ef-586873199046-00345c6c,3302242,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326362,0.7,2.1,"[2442208, 2342938, 3179362, 3213540]","[3179362, 3213540]","[2442208, 2342938]","[8.59, 2.36]","[1.113, 2.125]",1.113,3.55,8.59,3302241,7.963
86,3431533,9cf76385-c087-44ac-94ef-586873199046-00345c6d,3302243,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326363,0.9760000000000001,2.076,"[2442208, 2342938, 3179456, 3213540]","[3179456, 3213540]","[2442208, 2342938]","[0.69, 1.68]","[1.113, 2.125]",0.69,1.4,2.125,,0.0
87,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,3302243,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326363,0.9760000000000001,2.076,"[2442208, 2342938]",[],"[2442208, 2342938]",[],"[1.113, 2.125]",1.113,1.62,2.125,3303508,22.933
88,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,3303508,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326854,0.9760000000000001,2.076,"[2442208, 2342938]",[],"[2442208, 2342938]",[],"[1.113, 2.125]",1.113,1.62,2.125,3302243,22.933
89,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,3304569,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326c79,0.7,2.1,"[2442208, 2342938]",[],"[2442208, 2342938]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305187,5.577
90,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,3304571,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326c7b,0.7,2.1,"[2442208, 2342938]",[],"[2442208, 2342938]",[],"[1.159, 2.079]",1.159,1.62,2.079,3305187,2.753
91,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,3304572,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326c7c,0.7,2.1,"[2442208, 2342938]",[],"[2442208, 2342938]",[],"[1.159, 2.079]",1.159,1.62,2.079,3304569,5.966
92,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,3304575,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326c7f,0.7,2.1,"[2442208, 2342938]",[],"[2442208, 2342938]",[],"[1.159, 2.079]",1.159,1.62,2.079,3304572,7.654
93,3431538,9cf76385-c087-44ac-94ef-586873199046-00345c72,3305187,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326ee3,0.7,2.1,"[2442208, 2342938]",[],"[2442208, 2342938]",[],"[1.159, 2.079]",1.159,1.62,2.079,3304571,2.753
94,3431540,9cf76385-c087-44ac-94ef-586873199046-00345c74,3560915,88cd8c80-9995-4651-9869-f5c82e340e91-003655d3,0.7,2.1,"[2442208, 2342938, 3195859, 3179340]","[3195859, 3179340]","[2442208, 2342938]","[5.56, 1.31]","[1.159, 2.079]",1.159,2.53,5.56,,0.0
95,3431542,9cf76385-c087-44ac-94ef-586873199046-00345c76,3392006,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033c206,0.7,2.1,"[2442208, 2342938, 3301457, 3185002]","[3301457, 3185002]","[2442208, 2342938]","[6.27, 6.2]","[1.159, 2.079]",1.159,3.93,6.27,3392139,1.91
96,3431542,9cf76385-c087-44ac-94ef-586873199046-00345c76,3392139,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033c28b,0.7,2.1,"[2442208, 2342938, 3301457, 3185002]","[3301457, 3185002]","[2442208, 2342938]","[8.88, 3.59]","[1.159, 2.079]",1.159,3.93,8.88,3392330,1.5
97,3431542,9cf76385-c087-44ac-94ef-586873199046-00345c76,3392330,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033c34a,0.7,2.1,"[2442208, 2342938, 3301457, 3185002]","[3301457, 3185002]","[2442208, 2342938]","[11.08, 1.39]","[1.159, 2.079]",1.159,3.93,11.08,3392139,1.5
98,3431543,9cf76385-c087-44ac-94ef-586873199046-00345c77,3179337,be10110b-b6f2-4065-9867-8ca099f36b0e-00308349,0.7,2.1,"[2442208, 2342938, 3179317, 3179484]","[3179317, 3179484]","[2442208, 2342938]","[1.7, 0.32]","[1.113, 2.125]",0.32,1.31,2.125,,0.0
99,3431544,9cf76385-c087-44ac-94ef-586873199046-00345c78,3179336,be10110b-b6f2-4065-9867-8ca099f36b0e-00308348,0.7,2.1,"[2442208, 2342938, 3194971, 3179484]","[3194971, 3179484]","[2442208, 2342938]","[1.0, 1.11]","[1.113, 2.125]",1.0,1.34,2.125,,0.0
100,3431545,9cf76385-c087-44ac-94ef-586873199046-00345c79,3179349,be10110b-b6f2-4065-9867-8ca099f36b0e-00308355,0.7,2.1,"[2442208, 2342938, 3379981, 3179353]","[3379981, 3179353]","[2442208, 2342938]","[1.85, 6.35]","[1.113, 2.125]",1.113,2.86,6.35,,0.0
101,3431546,9cf76385-c087-44ac-94ef-586873199046-00345c7a,3430145,bdfe10a9-cc3a-4d49-9ab7-dfdbee303133-00345701,0.7,2.1,"[2442208, 2342938, 3179306, 3195859]","[3179306, 3195859]","[2442208, 2342938]","[1.0, 1.58]","[1.113, 2.125]",1.0,1.45,2.125,,0.0
102,3431548,9cf76385-c087-44ac-94ef-586873199046-00345c7c,3394472,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033cba8,0.7,2.1,"[2442208, 2342938, 3577778, 3179488]","[3577778, 3179488]","[2442208, 2342938]","[3.62, 1.98]","[1.113, 2.125]",1.113,2.21,3.62,3394557,1.925
103,3431548,9cf76385-c087-44ac-94ef-586873199046-00345c7c,3394557,50fd8e28-0912-4de4-a3f3-5422ff4df404-0033cbfd,0.7,2.1,"[2442208, 2342938, 3577778, 3179488]","[3577778, 3179488]","[2442208, 2342938]","[1.0, 4.6]","[1.113, 2.125]",1.0,2.21,4.6,3394472,1.925
104,3431550,9cf76385-c087-44ac-94ef-586873199046-00345c7e,3179476,be10110b-b6f2-4065-9867-8ca099f36b0e-003083d4,0.7,2.1,"[2442208, 2342938, 3179470, 3389690]","[3179470, 3389690]","[2442208, 2342938]","[1.48, 2.79]","[1.113, 2.125]",1.113,1.88,2.79,,0.0
105,3456022,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc16,3332723,38712bf7-cf57-40a2-b537-6b776c43fac5-0032da73,0.7,2.1,"[3145976, 3151193, 3151172, 3151371]","[3151172, 3151371]","[3145976, 3151193]","[2.14, 0.41]","[1.159, 2.079]",0.41,1.45,2.14,,0.0
106,3456026,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc1a,3306436,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-003273c4,0.7,2.1,"[2342938, 3145976, 3145955, 3146154]","[3145955, 3146154]","[2342938, 3145976]","[1.16, 1.41]","[1.159, 2.079]",1.159,1.45,2.079,,0.0
107,3456032,e6946569-9289-4bca-99c0-23bf1e7936de-0034bc20,3305316,bfa8f33c-6d5c-438b-bc13-1ee783907e85-00326f64,0.7,2.1,"[2442208, 2342938, 3213666, 3179463]","[3213666, 3179463]","[2442208, 2342938]","[1.04, 1.51]","[1.159, 2.079]",1.04,1.45,2.079,,0.0
108,3466752,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e600,3317737,7681e0a6-5996-44ef-a6f2-2a60ddb707ac-00329fe9,0.7,2.1,"[3145976, 3151193, 3151186, 3151514, 3151395]","[3151186, 3151514, 3151395]","[3145976, 3151193]","[0.43, 2.32, 2.6]","[1.113, 2.125]",0.43,1.72,2.6,,0.0
109,3466754,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e602,3151397,6019daee-c7da-42d3-8cc4-00f4173566ea-00301625,0.7,2.1,"[3145976, 3151193, 3575868, 3151500, 3305472, 3151504]","[3575868, 3151500, 3305472, 3151504]","[3145976, 3151193]","[0.99, 0.87, 3.9, 2.18]","[1.159, 2.079]",0.87,1.86,3.9,,0.0
110,3466754,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e602,3317654,7681e0a6-5996-44ef-a6f2-2a60ddb707ac-00329f96,0.7,2.1,"[3145976, 3151193, 3151188, 3151395, 3151514, 3151297, 3151295]","[3151188, 3151395, 3151514, 3151297, 3151295]","[3145976, 3151193]","[1.75, 2.22, 2.5, 0.18, 0.4]","[1.113, 2.125]",0.18,1.47,2.5,,0.0
111,3466754,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e602,3505790,b1d281c2-d9d2-4bcb-adef-271f0f97acd7-00357e7e,0.7,2.1,"[3145976, 3151193, 3151188, 3151395, 3151514, 3151297, 3151295]","[3151188, 3151395, 3151514, 3151297, 3151295]","[3145976, 3151193]","[1.08, 2.89, 3.17, 0.85, 0.17]","[1.113, 2.125]",0.17,1.63,3.17,,0.0
112,3466758,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e606,3305460,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ff4,0.7,2.1,"[2342938, 3145976, 3145969, 3146070, 3146178]","[3145969, 3146070, 3146178]","[2342938, 3145976]","[0.23, 2.51, 2.8]","[1.113, 2.125]",0.23,1.76,2.8,,0.0
113,3466760,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e608,3146180,3db84829-6386-4fa8-8eda-0e5dc9a25e67-003001c4,0.7,2.1,"[2342938, 3145976, 3576208, 3305448, 3146287]","[3576208, 3305448, 3146287]","[2342938, 3145976]","[0.99, 3.9, 2.18]","[1.159, 2.079]",0.99,2.06,3.9,,0.0
114,3466760,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e608,3305458,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ff2,0.7,2.1,"[2342938, 3145976, 3145971, 3146178, 3146070, 3146080, 3146078]","[3145971, 3146178, 3146070, 3146080, 3146078]","[2342938, 3145976]","[1.75, 2.22, 2.5, 0.18, 0.4]","[1.113, 2.125]",0.18,1.47,2.5,3305459,2.181
115,3466760,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e608,3305459,a8ec52c8-ecfc-4e47-8c38-4e0791b359fa-00326ff3,0.7,2.1,"[2342938, 3145976, 3145971, 3146178, 3146070, 3146080, 3146078]","[3145971, 3146178, 3146070, 3146080, 3146078]","[2342938, 3145976]","[3.82, 0.15, 0.44, 1.79, 2.46]","[1.113, 2.125]",0.15,1.7,3.82,3305458,2.181
116,3466760,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e608,3505598,b1d281c2-d9d2-4bcb-adef-271f0f97acd7-00357dbe,0.7,2.1,"[2342938, 3145976, 3145971, 3146178, 3146070, 3146080, 3146078]","[3145971, 3146178, 3146070, 3146080, 3146078]","[2342938, 3145976]","[1.08, 2.89, 3.17, 0.85, 0.17]","[1.113, 2.125]",0.17,1.63,3.17,,0.0
117,3466764,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e60c,3303348,bfa8f33c-6d5c-438b-bc13-1ee783907e85-003267b4,0.7,2.1,"[2442208, 2342938, 3179292, 3179582, 3179481]","[3179292, 3179582, 3179481]","[2442208, 2342938]","[0.23, 2.51, 2.8]","[1.113, 2.125]",0.23,1.76,2.8,,0.0
118,3466766,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e60e,3179483,be10110b-b6f2-4065-9867-8ca099f36b0e-003083db,0.7,2.1,"[2442208, 2342938, 3576423, 3179572, 3301457, 3179576]","[3576423, 3179572, 3301457, 3179576]","[2442208, 2342938]","[0.99, 0.87, 3.9, 2.18]","[1.159, 2.079]",0.87,1.86,3.9,,0.0
119,3466766,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e60e,3302885,bfa8f33c-6d5c-438b-bc13-1ee783907e85-003265e5,0.7,2.1,"[2442208, 2342938, 3179294, 3179481, 3179582, 3179389, 3179387]","[3179294, 3179481, 3179582, 3179389, 3179387]","[2442208, 2342938]","[1.75, 2.22, 2.5, 0.18, 0.4]","[1.113, 2.125]",0.18,1.47,2.5,3303158,2.181
120,3466766,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e60e,3303158,bfa8f33c-6d5c-438b-bc13-1ee783907e85-003266f6,0.7,2.1,"[2442208, 2342938, 3179294, 3179481, 3179582, 3179389, 3179387]","[3179294, 3179481, 3179582, 3179389, 3179387]","[2442208, 2342938]","[3.82, 0.15, 0.44, 1.79, 2.46]","[1.113, 2.125]",0.15,1.7,3.82,3302885,2.181
121,3466766,8431ebf8-f07e-4966-8ede-a7e97577da8c-0034e60e,3505389,b1d281c2-d9d2-4bcb-adef-271f0f97acd7-00357ced,0.7,2.1,"[2442208, 2342938, 3179294, 3179481, 3179582, 3179389, 3179387]","[3179294, 3179481, 3179582, 3179389, 3179387]","[2442208, 2342938]","[1.08, 2.89, 3.17, 0.85, 0.17]","[1.113, 2.125]",0.17,1.63,3.17,,0.0
122,3561036,88cd8c80-9995-4651-9869-f5c82e340e91-0036564c,3560937,88cd8c80-9995-4651-9869-f5c82e340e91-003655e9,0.7,2.1,"[3145976, 3151193, 3151174, 3151208]","[3151174, 3151208]","[3145976, 3151193]","[1.35, 1.89]","[1.159, 2.079]",1.159,1.62,2.079,,0.0
123,3561045,88cd8c80-9995-4651-9869-f5c82e340e91-00365655,3561018,88cd8c80-9995-4651-9869-f5c82e340e91-0036563a,0.7,2.1,"[2342938, 3145976, 3145957, 3145991]","[3145957, 3145991]","[2342938, 3145976]","[1.35, 1.89]","[1.159, 2.079]",1.159,1.62,2.079,,0.0
124,3561054,88cd8c80-9995-4651-9869-f5c82e340e91-0036565e,3561023,88cd8c80-9995-4651-9869-f5c82e340e91-0036563f,0.7,2.1,"[2442208, 2342938, 3179280, 3179313]","[3179280, 3179313]","[2442208, 2342938]","[1.35, 1.89]","[1.159, 2.079]",1.159,1.62,2.079,,0.0
