Family,Width,Height,Distance_to_edges_hor,Distance_to_edges_vert,Distance_to_next
M_Fixed,"[0.915, 1.0026923076923078, 1.2, 0.915]","[1.83, 1.8299999999999998, 1.83, 1.83]","[0.193, 2.595, 10.215, 0.6]","[0.305, 1.622, 3.27, 0.305]","[0.0, 0.614, 1.687, 0.2]"
M_Window-Casement-Triple-Side-Transom,"[1.35, 1.3499999999999999, 1.35, 1.35]","[1.8, 1.8, 1.8, 1.8]","[0.415, 1.354, 2.281, 2.265]","[0.55, 1.53, 2.675, 2.25]","[0.0, 0.0, 0.0, 0.0]"
