,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Nearest_elementIds,Distance_to_nearest
19,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,988462,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f152e,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[4.2, 2.87, 7.59, 3.21, 5.4, 3.22, 4.96, 4.29, 3.11]"
20,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,988603,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f15bb,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[5.54, 2.87, 6.25, 3.21, 6.51, 3.22, 6.29, 5.61, 1.77]"
21,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,988640,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f15e0,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[4.87, 2.87, 6.92, 3.21, 5.94, 3.22, 5.62, 4.95, 2.44]"
22,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,989344,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f18a0,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.4, 3.99, 2.39, 2.09, 9.72, 2.1, 10.1, 9.42, 2.28]"
23,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,989521,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1951,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[9.4, 2.19, 2.39, 3.89, 10.28, 3.9, 10.2, 9.53, 2.28]"
24,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990317,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1c6d,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[10.16, 1.83, 1.63, 4.25, 11.12, 4.26, 11.01, 10.33, 3.13]"
25,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990596,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1d84,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[10.16, 2.65, 1.63, 3.43, 10.82, 3.44, 10.9, 10.22, 2.89]"
26,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990620,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1d9c,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[8.64, 1.83, 3.15, 4.25, 9.73, 4.26, 9.51, 8.84, 1.84]"
27,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990621,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1d9d,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[8.64, 2.65, 3.15, 3.43, 9.4, 3.44, 9.39, 8.71, 1.41]"
28,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990645,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1db5,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[10.16, 4.35, 1.63, 1.73, 10.39, 1.74, 10.86, 10.2, 3.13]"
29,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990646,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1db6,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[10.16, 3.53, 1.63, 2.55, 10.57, 2.56, 10.86, 10.18, 2.89]"
30,857279,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d14bf,990647,705e25a1-127e-4d76-b5f5-4e766ef073a3-000f1db7,"[198749, 977377, 847436, 846939, 977133, 428745, 425745, 424922, 414482]","[8.64, 4.35, 3.15, 1.73, 8.9, 1.74, 9.34, 8.69, 1.84]"
