,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Type,Normal_to_center_room
25,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, -1.000000000)"
26,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,428745,c85e5be0-d8d5-4148-836f-b55e711ef373-00068ac9,SIP 202mm Wall - conc clad,"(0.000000000, -1.000000000, 0.000000000)"
27,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,430412,2fc77d67-1af0-4a43-aa66-c544d411df04-0006914c,Interior - Partition,"(1.000000000, 0.000000000, 0.000000000)"
28,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,430361,2fc77d67-1af0-4a43-aa66-c544d411df04-00069119,Interior - Partition,"(0.000000000, 1.000000000, 0.000000000)"
29,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,937935,bac06658-19d8-494b-b87a-559081499f8f-000e4fcf,Interior - Partition,"(-1.000000000, 0.000000000, 0.000000000)"
30,857200,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1470,243274,a6aa132d-ccd7-408f-b2f9-ed67350c8c3a-0003b64a,SG Metal Panels roof,"(0.000000000, -0.693290273, 0.720658447)"
31,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, -1.000000000)"
32,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,430318,2fc77d67-1af0-4a43-aa66-c544d411df04-000690ee,Interior - Partition,"(-1.000000000, 0.000000000, 0.000000000)"
33,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,768442,3195d1cb-ca2c-4181-b9c0-51da296667aa-000bb9ba,Interior - Partition,"(0.000000000, -1.000000000, 0.000000000)"
34,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,938974,bac06658-19d8-494b-b87a-559081499f8f-000e53de,Interior - Partition,"(1.000000000, 0.000000000, 0.000000000)"
35,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,939084,bac06658-19d8-494b-b87a-559081499f8f-000e544c,Interior - Partition,"(0.000000000, 1.000000000, 0.000000000)"
36,857203,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1473,243274,a6aa132d-ccd7-408f-b2f9-ed67350c8c3a-0003b64a,SG Metal Panels roof,"(0.000000000, -0.693290273, 0.720658447)"
37,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, -1.000000000)"
38,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,234869,88b03b05-80d3-484f-8022-471f61604c8d-00039575,Wall - Timber Clad,"(1.000000000, 0.000000000, 0.000000000)"
39,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,430064,2fc77d67-1af0-4a43-aa66-c544d411df04-00068ff0,Interior - Partition,"(0.000000000, 1.000000000, 0.000000000)"
40,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,938974,bac06658-19d8-494b-b87a-559081499f8f-000e53de,Interior - Partition,"(-1.000000000, 0.000000000, 0.000000000)"
41,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,768442,3195d1cb-ca2c-4181-b9c0-51da296667aa-000bb9ba,Interior - Partition,"(0.000000000, -1.000000000, 0.000000000)"
42,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,430412,2fc77d67-1af0-4a43-aa66-c544d411df04-0006914c,Interior - Partition,"(-1.000000000, 0.000000000, 0.000000000)"
43,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,428745,c85e5be0-d8d5-4148-836f-b55e711ef373-00068ac9,SIP 202mm Wall - conc clad,"(0.000000000, -1.000000000, 0.000000000)"
44,857206,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1476,243274,a6aa132d-ccd7-408f-b2f9-ed67350c8c3a-0003b64a,SG Metal Panels roof,"(0.000000000, -0.693290273, 0.720658447)"
45,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,418183,d85573c2-f8d5-46ae-966a-ac82fa18f500-00066187,Generic 300,"(0.000000000, 0.000000000, -1.000000000)"
46,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,234869,88b03b05-80d3-484f-8022-471f61604c8d-00039575,Wall - Timber Clad,"(-1.000000000, 0.000000000, 0.000000000)"
47,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,709245,e2eeab38-f437-4dce-846b-cb64191c9fcc-000ad27d,SH_Curtain wall,"(0.000000000, -1.000000000, 0.000000000)"
48,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,428588,c85e5be0-d8d5-4148-836f-b55e711ef373-00068a2c,SIP 202mm Wall - conc clad,"(0.000000000, 1.000000000, 0.000000000)"
49,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,429964,2fc77d67-1af0-4a43-aa66-c544d411df04-00068f8c,Interior - Partition,"(-1.000000000, 0.000000000, 0.000000000)"
50,857209,e6ac360b-aaed-4c3b-a130-36b4c2ac9d13-000d1479,430064,2fc77d67-1af0-4a43-aa66-c544d411df04-00068ff0,Interior - Partition,"(0.000000000, -1.000000000, 0.000000000)"
