,Room_Id,Room_uniqueId,ElementId,Element_uniqueId,Width,Height,Perpendicular_walls_id,Perpendicular_walls_count,Parallel_walls_id,Parallel_walls_count,Distance_to_parall,Distance_to_parall_mi,Distance_to_parall_mean,Distance_to_parall_ma,Nearest_walls_id,Angles_to_walls,Angles_to_walls_mi,Angles_to_walls_mean,Angles_to_walls_ma
83,393674,69a69155-af3a-4ab9-a082-58da18f85acb-000601ca,373935,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4af,0.2,4.000000000000049,"[349712, 349688, None, 373955, 349628]",5,"[None, None, 349627, None, None]",5,"[None, None, 5.297, None, None]",5.297,5.297,5.297,"[None, None, None, 373955, 349628]","[90, 90, 0, 90, 90]",0,72,90
84,393674,69a69155-af3a-4ab9-a082-58da18f85acb-000601ca,349628,69a69155-af3a-4ab9-a082-58da18f85acb-000555bc,0.29999999999999993,4.000000000000049,"[349712, 349688, 349627, None, 373935]",5,"[None, None, None, 373955, None]",5,"[None, None, None, 4.106, None]",4.106,4.106,4.106,"[None, None, 349627, None, 373935]","[90, 90, 90, 0, 90]",0,72,90
85,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,349627,69a69155-af3a-4ab9-a082-58da18f85acb-000555bb,0.29999999999999993,4.000000000000049,"[349712, 349688, 373931, None, None, 349628, None, 373932]",8,"[None, None, None, 387393, 373936, None, 373935, None]",8,"[None, None, None, 8.038, 8.038, None, 5.297, None]",5.297,7.124,8.038,"[None, None, 373931, None, None, 349628, None, 373932]","[90, 90, 90, 0, 0, 90, 0, 90]",0,56.25,90
86,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,373931,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4ab,0.13849999999999996,4.000000000000049,"[349712, 349688, 349627, 387393, 373936, None, 373935, None]",8,"[None, None, None, None, None, 349628, None, 373932]",8,"[None, None, None, None, None, 10.631, None, 2.031]",2.031,6.331,10.631,"[None, None, 349627, 387393, 373936, None, 373935, None]","[90, 90, 90, 90, 90, 0, 90, 0]",0,67.5,90
87,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,387393,69a69155-af3a-4ab9-a082-58da18f85acb-0005e941,0.2,4.000000000000049,"[349712, 349688, None, 373931, 349628, None, 373932]",7,"[None, None, 349627, None, None, 373935, None]",7,"[None, None, 8.038, None, None, 2.542, None]",2.542,5.29,8.038,"[None, None, None, 373931, 349628, None, 373932]","[90, 90, 0, 90, 90, 0, 90]",0,64.286,90
88,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,373936,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4b0,0.2,4.000000000000049,"[349712, 349688, None, 373931, 349628, None, 373932]",7,"[None, None, 349627, None, None, 373935, None]",7,"[None, None, 8.038, None, None, 2.542, None]",2.542,5.29,8.038,"[None, None, None, 373931, 349628, None, 373932]","[90, 90, 0, 90, 90, 0, 90]",0,64.286,90
89,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,349628,69a69155-af3a-4ab9-a082-58da18f85acb-000555bc,0.29999999999999993,4.000000000000049,"[349712, 349688, 349627, None, 387393, 373936, 373935, None]",8,"[None, None, None, 373931, None, None, None, 373932]",8,"[None, None, None, 10.631, None, None, None, 8.4]",8.4,9.515,10.631,"[None, None, 349627, None, 387393, 373936, 373935, None]","[90, 90, 90, 0, 90, 90, 90, 0]",0,67.5,90
90,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,373935,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4af,0.2,4.000000000000049,"[349712, 349688, None, 373931, None, None, 349628, 373932]",8,"[None, None, 349627, None, 387393, 373936, None, None]",8,"[None, None, 5.297, None, 2.542, 2.542, None, None]",2.542,3.46,5.297,"[None, None, None, 373931, None, None, 349628, 373932]","[90, 90, 0, 90, 0, 0, 90, 90]",0,56.25,90
91,393675,69a69155-af3a-4ab9-a082-58da18f85acb-000601cb,373932,69a69155-af3a-4ab9-a082-58da18f85acb-0005b4ac,0.2,4.000000000000049,"[349712, 349688, 349627, None, 387393, 373936, None, 373935]",8,"[None, None, None, 373931, None, None, 349628, None]",8,"[None, None, None, 2.031, None, None, 8.4, None]",2.031,5.216,8.4,"[None, None, 349627, None, 387393, 373936, None, 373935]","[90, 90, 90, 0, 90, 90, 0, 90]",0,67.5,90
92,393676,69a69155-af3a-4ab9-a082-58da18f85acb-000601cc,349629,69a69155-af3a-4ab9-a082-58da18f85acb-000555bd,0.29999999999999993,4.000000000000049,"[349712, 349688, 373937, None, None, 349630]",6,"[None, None, None, 387393, 373934, None]",6,"[None, None, None, 2.8, 2.8, None]",2.8,2.8,2.8,"[None, None, 373937, None, None, 349630]","[90, 90, 90, 0, 0, 90]",0,60,90
