,Door_width,Door_height,Distance_to_edges_mi,Distance_to_edges_mean,Distance_to_edges_ma,Distance_to_next_door_min
0,0.742784,2.098464000000001,0.9312080000000001,2.5204,5.3749519999999995,2.7419599999999997
1,0.7,2.076,0.15,1.05,1.42,0.0
2,1.51,2.1,1.159,8.43,29.16,22.933
