ifcguid,exit,height,rough_height,storey_exit,type_ifcguid,classification
1W6Thknzf2qup40FGN1NDQ,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NDR,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NDU,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NCl,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NCd,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NCa,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1NCx,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1N3x,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
1W6Thknzf2qup40FGN1N3o,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1N3p,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1N3m,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
1W6Thknzf2qup40FGN1N3F,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_WY,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_Wz,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_Ww,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_Wt,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
2_414Bjl90PPXdZA2Pm_Wq,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
2_414Bjl90PPXdZA2Pm_XD,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_X6,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_X7,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_X5,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
2_414Bjl90PPXdZA2Pm_XQ,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
2_414Bjl90PPXdZA2Pm_XR,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_XO,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_XP,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_XY,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_XZ,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_X_,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_YF,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_Y7,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_Y4,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_Y3,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
2_414Bjl90PPXdZA2Pm_Y$,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
2_414Bjl90PPXdZA2Pm_Z3,,,2.1,,0dwJ1JWsv3L8A_XhzwP5MW,Element_Door
2_414Bjl90PPXdZA2Pm_ZQ,,,2.1,,1sWU2cMPP4xwRoAc3TXQKN,Element_Door
